fixed points found: 422
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.461258} | theta=['2', '4.275e-31', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.730629} | theta=['2', '4.28e-31', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.269371} | theta=['2', '4.28e-31', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.538742} | theta=['2', '4.275e-31', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.808114} | theta=['2', '4.268e-31', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.20768} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.471787} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.735893} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.264107} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.528213} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 1.79232} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.249197} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': 0.0, 'lambda_ADM': 0.499466} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.749733} | theta=['2', '6.349e-30', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.250267} | theta=['2', '6.349e-30', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.500534} | theta=['2', '6.323e-30', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.750803} | theta=['2', '6.28e-30', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.350287} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.566864} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 0.783434} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.216566} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': 0.0, 'lambda_ADM': 1.433136} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.649713} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.606141} | theta=['2', '1.205e-27', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.737457} | theta=['2', '1.218e-27', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.868737} | theta=['2', '1.229e-27', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.131263} | theta=['2', '1.229e-27', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.262543} | theta=['2', '1.218e-27', '-2'] | relevant=2 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 1.393859} | theta=['2', '1.205e-27', '-2'] | relevant=2 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.109626} | theta=['2', '-1.805e-33', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.406417} | theta=['2', '-1.813e-33', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.703209} | theta=['2', '-1.818e-33', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.296791} | theta=['2', '-1.818e-33', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.593583} | theta=['2', '-1.813e-33', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.890374} | theta=['2', '-1.805e-33', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.115291} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.410194} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 0.705097} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.294903} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.589806} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': -0.0, 'lambda': -0.0, 'lambda_ADM': 1.884709} | theta=['2', '0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.113727} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.409151} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
  {'g': 0.0, 'lambda': -0.0, 'lambda_ADM': 0.704576} | theta=['2', '-0', '-2'] | relevant=1 | gaussian=False
